Abandon	Abandon	NN	negative	-/-/-	D
Abart	Abart	NN	negative	-/-/-	D
Abbau	Abbau	NN	negative	-/-0.058/-	L
Abbaue	Abbau	NN	negative	-/-0.058/-	L
Abbauen	Abbau	NN	negative	-/-0.058/-	L
Abbaues	Abbau	NN	negative	-/-0.058/-	L
Abbaus	Abbau	NN	negative	-/-0.058/-	L
Abbildungsfehler	Abbildungsfehler	NN	negative	-/-/-	D
Abbildverzerrung	Abbildverzerrung	NN	negative	-/-/-	D
Abblendung	Abblendung	NN	negative	-/-/-	D
Abbohrung	Abbohrung	NN	negative	-/-/-	D
Abbruch	Abbruch	NN	negative	-/-0.0048/-	L
Abbruches	Abbruch	NN	negative	-/-0.0048/-	L
Abbruchs	Abbruch	NN	negative	-/-0.0048/-	L
Abbruchstelle	Abbruchstelle	NN	negative	-/-/-	D
Abbrüche	Abbruch	NN	negative	-/-0.0048/-	L
Abbrüchen	Abbruch	NN	negative	-/-0.0048/-	L
Abdampf	Abdampf	NN	negative	-/-/-	D
Abdankung	Abdankung	NN	negative	-/-0.0048/-	L
Abdankungen	Abdankung	NN	negative	-/-0.0048/-	L
Abdämpfung	Abdämpfung	NN	negative	-/-0.0048/-	L
Abdämpfungen	Abdämpfung	NN	negative	-/-0.0048/-	L
Abenteuerlichkeit	Abenteuerlichkeit	NN	negative	-/-/-	D
Abenteuerpolitik	Abenteuerpolitik	NN	negative	-/-/-	D
Aberglaube	Aberglaube	NN	negative	-/-/-	D
Aberkennung	Aberkennung	NN	negative	-/-/-	D
Aberration	Aberration	NN	negative	-/-/-	D
Abfall	Abfall	NN	negative	-/-0.0048/-	L
Abfallbrennstoff	Abfallbrennstoff	NN	negative	-/-/-	D
Abfalles	Abfall	NN	negative	-/-0.0048/-	L
Abfallkorb	Abfallkorb	NN	negative	-/-/-	D
Abfallprodukt	Abfallprodukt	NN	negative	-/-/-	D
Abfallquote	Abfallquote	NN	negative	-/-/-	D
Abfalls	Abfall	NN	negative	-/-0.0048/-	L
Abfallstoff	Abfallstoff	NN	negative	-/-/-	D
Abfallstoffe	Abfallstoff	NN	negative	-/-/-	D
Abfallstutzen	Abfallstutzen	NN	negative	-/-/-	D
Abfallstück	Abfallstück	NN	negative	-/-/-	D
